id_inner,i_ID,shop,description,part#,price,qty,type,unitPrice,warranty?,invoice,label
55884,22797,36,resonator & fix upper flex  pipe,,158.25,2.11,Labor,75.0,no,,1
602,602,15,head light repair parts and labor,,25.0,1.0,Labor,25.0,no,,4
444792,43333,44,wheel bearing inner and outer,,40.0,2.0,Part,20.0,no,,1
115409,16188,38,engine oil cooler  gaskets kit,,34.93,1.0,Part,34.93,no,,2
838936,4347,76,f upper c arms,,234.0,2.0,Part,117.0,no,,1
234550,56681,41,c1417vc  ignition coil,,47.04,1.0,Part,47.04,no,,6
156287,21366,39,thermostat  7354 192,,20.0,1.0,Part,20.0,no,,2
20074,20074,15,on   front p/s low beam head light bulb,,15.0,0.2,Labor,75.0,no,,4
908311,6209,80,dwk80370  dwk80369 front sway bar links,,60.94,2.0,Part,30.47,no,,1
346949,69080,42,serpentine belt part 840k6 serial 649717860653 manf   duralast,,45.0,1.0,Part,45.0,no,,9
518585,14548,46,muffler (one) replacement extension pipe,,92.0,0.92,Labor,100.0,no,,1
221179,43310,41,2 front brake caliper  3months warranty on labor,,146.4,1.0,Labor,146.4,no,,8
560420,56383,46,labor on front brake pads  and both brake rotors,,217.6,2.56,Labor,85.0,no,,8
160792,25871,39,r&r lightbulb,,10.0,1.0,Labor,10.0,no,,4
331320,53451,42,front struts (right side) part 182130r serial 816558011890 manf   unity,,139.5,1.0,Part,139.5,no,,1
351118,2267,43,4 spark plugs and 1 air filter and 4 coils on plug boot and oil change and 1 flex pipe and 1 extension pipe,,242.81,1.0,Labor,242.81,no,,2
95630,26041,37,front left upper control armp gca10414 s 001059073,,127.5,1.0,Part,127.5,no,,1
617617,4353,48,r & r rear strut assembly,,171.0,1.8,Labor,95.0,no,,1
111141,11920,38,terminal clamp battery,,16.67,1.0,Part,16.67,no,,6
57787,24700,36,front inner tie rods  ev800572  401061 011736,,76.6,2.0,Part,38.3,no,,1
675115,16060,49,drive belt kit water pump a/c belt,,130.0,2.0,Labor,65.0,no,,9
358031,9180,43,2 catalytic converter y pipe,,203.0,1.0,Labor,203.0,no,,1
132232,33011,38,air filter   sa9838,,20.0,1.0,Part,20.0,no,,2
841132,6543,76,right side sway bar link pin(new),,50.0,1.0,Part,50.0,no,,1
353705,4854,43,front inner  tie rods,,30.0,1.0,Part,30.0,no,,1
194954,17085,41,replace rear left wheel hub,,121.72,1.0,Labor,121.72,no,,1
107648,8427,38,r&r flex pipe & exhaust pipe,,35.0,1.0,Labor,35.0,no,,1
290215,12346,42,on lower control arm  &  repair frame,,177.0,1.0,Labor,177.0,no,,1
524575,20538,46,transmission case bushing,,20.5,1.0,Part,20.5,no,,9
159737,24816,39,fuel filler neck replacement,,215.25,2.87,Labor,75.0,no,,9
455095,2626,45,abc rear rotors,,73.82,2.0,Part,36.91,no,,8
570008,65971,46,sway bar link (18750098),,27.0,1.0,Part,27.0,no,,1
298524,20655,42,replaced muffler & catalytic converter,,85.0,1.0,Labor,85.0,no,,8
944422,32572,257,duralast ts1141 timing solnoid serial 000527264,,65.0,1.0,Part,65.0,no,,2
387492,38641,43,replaced 2 camshaft phasers,,300.0,2.0,Part,150.0,no,,2
951600,39750,257,engine oil filter p  s3675,,5.0,1.0,Part,5.0,no,,2
804249,2651,74,1 valve cover gasket 1 thermostat,,113.04,1.0,Labor,113.04,no,,2
703700,7338,68,core  cliente se llevo el cat,,70.0,1.0,Labor,70.0,no,,9
177424,42503,39,electrical  diagnostic,,360.0,3.0,Labor,120.0,no,,9
170418,35497,39,b2417 radiator,,170.0,1.0,Part,170.0,no,,7
872864,2897,78,labor w smog machine,,171.62,1.0,Labor,171.62,no,,9
942264,30414,257,replace new steering shaft  r&r,,170.0,2.0,Labor,85.0,no,,1
306856,28987,42,vent solenoid part 214 3218 serial 707773711132 manf   ac delco,,49.98,1.0,Part,49.98,no,,2
178054,185,41,front brake rotor front brake pads labor only no warranty,,60.0,1.0,Labor,60.0,no,,8
397447,48596,43,rear drums rear shoes rear hardware kit brake line brake hose,,357.0,4.2,Labor,85.0,no,,8
297201,19332,42,r & r  front c v axle,,93.1,0.98,Labor,95.0,no,,1
250934,73065,41,b2839  radiator,,176.2,1.0,Part,176.2,no,,7
17651,17651,15,labor   on fuse box harness rewiring,,180.0,2.4,Labor,75.0,no,,9
226377,48508,41,valve cover gasket  vs5066r,,32.88,1.0,Part,32.88,no,,2
867870,18220,77,labor on exhaust pipe and universal muffller,,199.75,2.35,Labor,85.0,no,,8
219704,41835,41,exhaust pipe 3 months warranty on labor,,38.3,1.0,Labor,38.3,no,,8
429031,27572,44,ignition control,,45.6,0.5700000000000001,Labor,80.0,no,,2
236268,58399,41,ss 7759x  front brake pads,,21.0,1.0,Part,21.0,no,,8
229317,51448,41,truck came in whit towtrock whit the pitman arm broken,,0.0,0.0,Part,0.0,no,,9
933168,21318,257,air filter p sa10346 s 25504,,20.21,1.0,Part,20.21,no,,2
772381,27881,72,19 b2715 remanufactured brake caliper,,70.1,1.0,Part,70.1,no,,8
292983,15114,42,on rear brake shoes  brake drums,,85.0,1.0,Labor,85.0,no,,8
296315,18446,42,labor on front shocks,,60.0,1.0,Labor,60.0,no,,1
272927,95058,41,replaced front right lower ball joints,,104.55,1.23,Labor,85.0,no,,1
1075,1075,15,brake lines parts and labor,,240.0,1.0,Labor,240.0,no,,8
127845,28624,38,front left brakes line,,40.0,1.0,Part,40.0,no,,8
548567,44530,46,p 780037rgs   2 front brake rotors,,70.0,2.0,Part,35.0,no,,8
171986,37065,39,rear brake rotors   55054dg,,130.0,2.0,Part,65.0,no,,8
951713,39863,257,engine synthetic oil 5w30   4 97 qts,,34.0,1.0,Part,34.0,no,,2
500026,47557,45,c1098 igntion coil,,85.0,1.0,Part,85.0,no,,2
184648,6779,41,gas cap evap purge solenoid,,88.74,1.0,Labor,88.74,no,,2
92857,23268,37,oil filter  aap,,6.0,1.0,Part,6.0,no,,2
580888,10617,47,front driver lower ball joint,,120.0,1.0,Labor,120.0,no,,1
108026,8805,38,removed cat conveters,,90.0,1.0,Labor,90.0,no,,8
228430,50561,41,costumer request install rear brake pads labor only no warranty  costumer provide parts and his own diagnostic,,80.0,1.0,Labor,80.0,no,,8
71511,1922,37,rear shoes labor only,,80.0,1.0,Labor,80.0,no,,8
491136,38667,45,513189 front wheel hub bearing,,130.69,1.0,Part,130.69,no,,1
178765,896,41,exhaust flange exhaust pipe 1year warranty,,15.0,1.0,Part,15.0,no,,8
10275,10275,15,labor  thermostat & coolant flush,,118.5,1.58,Labor,75.0,no,,2
975329,9269,365,labor only   on front struts,,255.0,3.0,Labor,85.0,no,,1
281425,3556,42,on brake lines,,186.0,3.0,Labor,62.0,no,,8
609785,39514,47,crankshaft  sensor,,75.0,1.0,Part,75.0,no,,2
31773,31773,15,replaced rear brake line,,136.0,1.6,Labor,85.0,no,,8
320522,42653,42,r&r air  intake manifold & booster hose,,240.0,3.2,Labor,75.0,no,,2
19793,19793,15,on exhaust flange gasket & donut gasket,,145.5,1.94,Labor,75.0,no,,8
348970,119,43,labor alternator and labor oil change,,115.0,1.0,Labor,115.0,no,,6
176441,41520,39,52030433 ab fuel cap,,30.0,1.0,Part,30.0,no,,9
690219,1408,67,muffler & tail pipe  parts and labor,,160.0,1.0,Labor,160.0,no,,8
57439,24352,36,cherry bomb turbo muffler,,70.0,1.0,Labor,70.0,no,,8
508380,4343,46,fx  pipe,,68.6,1.0,Labor,68.6,no,,8
913524,1674,257,upstrem  oxygen sensor,,52.02,1.0,Part,52.02,no,,2
367147,18296,43,caliper pin,,21.73,1.0,Labor,21.73,no,,8
633926,20662,48,inner tie rod end parts master part ev420,,50.0,2.0,Part,25.0,no,,1
663938,4883,49,header install with  dual flowmasters dual tailpipe,,900.0,1.0,Labor,900.0,no,,8
473541,21072,45,r&r   front wheel bearing right,,40.0,1.0,Labor,40.0,no,,1
948779,36929,257,brake drum  rear,,70.02,2.0,Part,35.01,no,,8
611657,41386,47,az front cv axle,,170.0,2.0,Part,85.0,no,,1
585235,14964,47,all tire rotation and alignment,,100.0,1.0,Labor,100.0,no,,1
132167,32946,38,rear lower control arm  rk641787,,200.0,2.0,Part,100.0,no,,1
603540,33269,47,ignition coil boots set,,45.0,1.0,Part,45.0,no,,2
662623,3568,49,radiator with  system flush,,180.0,1.0,Labor,180.0,no,,7
486631,34162,45,r&r muffler  catalytic converter and flex pipe,,250.5,3.34,Labor,75.0,no,,8
203635,25766,41,2 front brakes pads 2 rear brake pads 2 rear brakes caliper,,190.12,1.0,Labor,190.12,no,,8
369234,20383,43,1 rear left side sway bar link and fix 1 front right side tire,,64.54,1.0,Labor,64.54,no,,1
724539,3712,70,payment with visa  (ref inv  3830),,-300.0,1.0,Labor,-300.0,no,,9
263796,85927,41,18 b2536 front right caliper,,90.0,1.0,Part,90.0,no,,8
645934,32670,48,duralast 18 b5032 99 17728l remanufactured,,85.0,1.0,Part,85.0,no,,8
749590,5090,72,costumer request wheel alignment need replaced 2 inner 2 outer tie rod 2 adjusting$$350 00,,40.0,1.0,Labor,40.0,no,,1
39133,6046,36,labor and descarbonit,,300.3,4.62,Labor,65.0,no,,9
76051,6462,37,turning signal light labor only,,60.0,1.0,Labor,60.0,no,,4
47222,14135,36,sway bar links & oil change labor only,,120.0,1.6,Labor,75.0,no,,2
398563,49712,43,syn oil  and filter,,35.25,1.0,Part,35.25,no,,2
613024,42753,47,engine speed sensor,,85.0,1.0,Part,85.0,no,,9
654481,41217,48,r&r auto trans speed sensor,,279.65,3.29,Labor,85.0,no,,9
151148,16227,39,camshaft position sensors,,200.0,2.0,Part,100.0,no,,2
331105,53236,42,vent solenoid part 214 2149 serial 707773440551 manf   ac delco,,45.3,1.0,Part,45.3,no,,2
975297,9237,365,we remove the tire rear brake rotors and put it again,,42.5,0.5,Labor,85.0,no,,8
503590,51121,45,13509994 rear brake caliper,,75.0,1.0,Part,75.0,no,,8
123062,23841,38,r&r cutt off 1 rear brakes drum and 1 front brake rotors,,150.0,2.0,Labor,75.0,no,,8
189389,11520,41,front right vent door actuator,,106.83,1.0,Labor,106.83,no,,4
171411,36490,39,ac service repair ac line,,250.0,1.0,Labor,250.0,no,,7
945361,33511,257,duralast dg1665 brake pads serial 000393103,,40.0,1.0,Part,40.0,no,,8
568216,64179,46,coupster vent valve,,62.7,1.0,Part,62.7,no,,7
946674,34824,257,duralast es3717 outer tie rod serial 000898399,,45.1,1.0,Part,45.1,no,,1
337818,59949,42,r&r muffler  exhaust pipe & resonator,,187.0,2.2,Labor,85.0,no,,8
169014,34093,39,r & r rear right side sensor tire and seal the rim,,70.0,1.0,Labor,70.0,no,,9
453163,694,45,replaced main window switch  perform tracing open circuit and repair,,120.25,1.85,Labor,65.0,no,,4
390457,41606,43,labor on exhaust (muffler ),,85.0,1.0,Labor,85.0,no,,8
320604,42735,42,deposit for job  $360 cash inv 12337 on 11/2/19,,-360.0,1.0,Labor,-360.0,no,,9
482692,30223,45,r&r brake line front to rear,,150.0,2.0,Labor,75.0,no,,8
122847,23626,38,r&r maf sensor,,75.0,1.0,Labor,75.0,no,,5
230421,52552,41,49 2597  rear wiper motor,,90.4,1.0,Part,90.4,no,,4
451008,49549,44,rear c/a left and right,,320.0,2.0,Part,160.0,no,,1
604481,34210,47,crankshaft sprocket,,117.25,1.0,Part,117.25,no,,9
666487,7432,49,strut egr valve,,80.0,1.0,Labor,80.0,no,,1
575783,5512,47,catalytic  muffler  front pipe bolts,,225.0,1.0,Part,225.0,no,,8
107259,8038,38,windshield wiper pump,,27.34,1.0,Part,27.34,no,,4
799016,25257,73,regular oil change   pablo,,15.0,1.0,Labor,15.0,no,,2
186556,8687,41,oil change  need replaced a/c compressor$$610 00 does not incluid refrigerant recovery,,20.0,1.0,Labor,20.0,no,,2
327153,49284,42,front wheel bearing (passenger side) part 882779284214 manf   autoparts,,85.0,1.0,Part,85.0,no,,1
73747,4158,37,front brake rotors and pads,,117.65,1.81,Labor,65.0,no,,8
121616,22395,38,r&r fuses,,50.0,1.0,Labor,50.0,no,,9
131963,32742,38,r& r exhaust pipe,,65.0,1.0,Labor,65.0,no,,8
97537,27948,37,brake line (abs to left brake hose),,44.5,1.0,Part,44.5,no,,8
499896,47427,45,9808 front mount,,150.0,1.0,Part,150.0,no,,1
229185,51316,41,pf7963x  rear brake pads,,32.0,2.0,Part,16.0,no,,8
949616,37766,257,blower motor resistor p  std ru84,,26.2,1.0,Part,26.2,no,,7
699993,3631,68,diagnostic needs  engine,,70.0,1.0,Labor,70.0,no,,5
296620,18751,42,weld  flex pipe & replaced  manifold,,90.0,1.0,Labor,90.0,no,,8
221418,43549,41,2 rear brakes rotor 2 rear brake pads 2 rear brake caliper,,285.1,1.0,Labor,285.1,no,,8
83606,14017,37,front p/s cv axle and hub bearing,,187.5,2.5,Labor,75.0,no,,1
947644,35794,257,duralast brake rotor sku 000377463,,115.58,2.0,Part,57.79,no,,8
73508,3919,37,o2 sensor (labor only),,60.0,1.0,Labor,60.0,no,,5
974542,8482,365,2344260 oxygen sensor,,70.1,1.0,Part,70.1,no,,5
70392,803,37,complete set of head gaskets (thermostat lower intake upper intake  2 exhaust gaskets  valve cover gaskets),,189.38,1.0,Part,189.38,no,,9
86701,17112,37,front right caliper with hose,,84.75,1.13,Labor,75.0,no,,8
408066,6607,44,rear axle,,165.0,1.0,Part,165.0,no,,1
925811,13961,257,front left c v axle  seal,,57.21,1.0,Part,57.21,no,,1
106815,7594,38,rear  brake pads set,,54.65,1.0,Part,54.65,no,,8
932437,20587,257,rear brake rotors p 45113 s 877075,,80.0,2.0,Part,40.0,no,,8
233892,56023,41,exhaust pipe muffler front right sway bar link,,213.6,2.67,Labor,80.0,no,,1
17466,17466,15,labor   on flex pipe & exhaust flange gasket,,96.75,1.29,Labor,75.0,no,,8
122434,23213,38,rear drums  24191,,70.0,2.0,Part,35.0,no,,8
931619,19769,257,front passenger brake lines,,25.0,1.0,Part,25.0,no,,8
97389,27800,37,2   exhaust tips replacement labor only,,100.0,1.0,Labor,100.0,no,,8
876504,6537,78,belt tentioner & belt,,97.67,1.0,Part,97.67,no,,6
107085,7864,38,r&r exhaust pipe tips,,50.0,1.0,Labor,50.0,no,,8
99715,494,38,install front struts with mounts and sway bar links,,130.0,1.0,Labor,130.0,no,,1
635989,22725,48,muffle ap 76589,,40.0,1.0,Part,40.0,no,,8
414776,13317,44,replace  taming chain,,345.0,4.6,Labor,75.0,no,,9
912083,233,257,on parts & labor oil change with filter,,20.0,1.0,Part,20.0,no,,2
181069,3200,41,front left 1 lower control arm,,154.86,1.0,Labor,154.86,no,,1
541419,37382,46,p 19257603   vent valve harness,,36.0,1.0,Part,36.0,no,,7
976010,487,366,fix rear passanger side tire  no warranty,,0.0,1.0,Labor,0.0,no,,9
20965,20965,15,lower ball joints   au,,112.18,2.0,Part,56.09,no,,1
655025,41761,48,r&r direct fit catalytic converter with  integrated manifold & gaskets,,380.0,4.0,Labor,95.0,no,,8
67529,34442,36,resonador & exhaust pipe,,141.1,1.66,Labor,85.0,no,,8
124818,25597,38,r&r abs  brake sensor and rear lower control arms,,117.0,1.56,Labor,75.0,no,,8
487027,34558,45,35 7002 coil on plug boot,,59.96,4.0,Part,14.99,no,,6
208798,30929,41,costumer request install rear left brake rotor brake caliper brake pads labor only,,95.0,1.0,Labor,95.0,no,,8
403592,2133,44,thermpstat,,15.0,1.0,Part,15.0,no,,9
176723,41802,39,h6054xv headlight,,18.14,1.0,Part,18.14,no,,4
137913,2992,39,front wheel hub (driver side),,170.0,1.0,Part,170.0,no,,1
326976,49107,42,rear brake pads part ms885 serial ms885 serial 849322069940 manf   autopart,,65.0,1.0,Part,65.0,no,,8
339668,61799,42,labor only on front lower control arms,,240.55,2.83,Labor,85.0,no,,1
915977,4127,257,on alternator ( replace (b),,100.98,0.99,Labor,102.0,no,,6
322401,44532,42,rear differential   lkq,,250.0,1.0,Part,250.0,no,,9
324466,46597,42,front brake rotors part 54034 serial 190327015280 manf   fvp,,280.0,2.0,Part,140.0,no,,8
571297,1026,47,oil plug oil change rotation,,30.0,1.0,Labor,30.0,no,,2
551181,47144,46,front brake rotors pads 4 rear brake lines,,300.0,3.75,Labor,80.0,no,,8
321265,43396,42,alternator  11285  s 029175044749,,139.0,1.0,Part,139.0,no,,6
768383,23883,72,77730 47030 canister,,610.0,1.0,Part,610.0,no,,9
628622,15358,48,venr solenoid,,49.41,1.0,Part,49.41,no,,7
681472,22417,49,rear left side abs sensor,,45.0,1.0,Part,45.0,no,,8
100053,832,38,r & r muffler  flex pipe and oxigen sensor,,70.0,1.0,Labor,70.0,no,,8
226382,48513,41,rear brake rotor  48880457,,36.0,2.0,Part,18.0,no,,8
25293,25293,15,on flow master and connecting pipe,,146.25,1.95,Labor,75.0,no,,8
376311,27460,43,600 5477 fuel pump driver module,,130.0,1.0,Part,130.0,no,,6
902655,553,80,flex pipe and support hooks,,70.0,1.0,Labor,70.0,no,,8
569570,65533,46,vt solenoid,,140.0,2.0,Part,70.0,no,,7
297818,19949,42,labor  only on cluster,,50.0,1.0,Labor,50.0,no,,4
106387,7166,38,ac servicice test,,60.0,1.0,Labor,60.0,no,,7
292452,14583,42,on rear brake pads & rotors & ft  sb links,,140.0,1.0,Labor,140.0,no,,8
165038,30117,39,engine oil filter and oil,,15.0,1.0,Part,15.0,no,,2
95723,26134,37,exhaust/muffler  after market p ap 3762,,170.0,2.0,Part,85.0,no,,8
2833,2833,15,full synthetic oil change & filter,,55.0,1.0,Labor,55.0,no,,2
732084,530,71,inner tie rod end /pitman arm,,80.0,2.0,Part,40.0,no,,1
593880,23609,47,2 brake lines from abs pump to master cylinder,,90.0,2.0,Part,45.0,no,,8
97464,27875,37,oil filter   s2808,,10.0,1.0,Part,10.0,no,,2
65451,32364,36,air filter 69737  847669026817,,31.2,1.0,Part,31.2,no,,2
122295,23074,38,clean intake manifold and egr valve repair egr tube,,300.0,4.0,Labor,75.0,no,,2
169472,34551,39,r & r front control arms,,240.0,1.0,Labor,240.0,no,,1
125908,26687,38,r&r front struts complete assy  front sway bar links and front alignment,,375.0,5.0,Labor,75.0,no,,1
656638,43374,48,vls368 sway bar link sku 000274536,,50.0,1.0,Part,50.0,no,,1
719660,9660,69,replace   fuel tank strap,,76.5,0.9,Labor,85.0,no,,1
3415,3415,15,thermostat gasket,,3.09,1.0,Part,3.09,no,,3
356609,7758,43,1 combination switch tune up and frnt brakes rotors and pads and rear brakes rotors and pads and 1 rear tall lamp and 4 rear lamp sockets,,597.06,1.0,Labor,597.06,no,,5
462003,9534,45,ua driver side mirror,,45.79,1.0,Part,45.79,no,,4
170993,36072,39,rear brake shoes   553,,38.0,1.0,Part,38.0,no,,8
915361,3511,257,only on replace tire,,15.0,1.0,Labor,15.0,no,,1
546984,42947,46,rear upper control arm rear lower control arm rear coil springs,,320.0,1.0,Labor,320.0,no,,1
77147,7558,37,trans cooling system,,72.94,1.0,Part,72.94,no,,9
131294,32073,38,r&r rear sway bushing,,102.0,1.2,Labor,85.0,no,,1
904400,2298,80,oil change filter y un foco,,25.0,1.0,Labor,25.0,no,,2
167063,32142,39,invoice  7815,,-700.0,1.0,Misc,-700.0,no,,9
506385,2348,46,tail light lens,,15.0,1.0,Part,15.0,no,,4
308177,30308,42,replaced right front lower control arm,,225.0,3.0,Labor,75.0,no,,1
177352,42431,39,h7 dlg battery just part,,190.0,1.0,Part,190.0,no,,6
911872,22,257,rd rotors set,,105.7,2.0,Part,52.85,no,,8
206190,28321,41,oil change&air filter labor only,,0.0,1.0,Labor,0.0,no,,2
922369,10519,257,replace new flex pipe & replace new catalytic converter & replace new resonator & replace  new exhaust pipe & replace new muffler ),,170.0,2.0,Labor,85.0,no,,9
475292,22823,45,t1241 water pump 762164205393,,89.95,1.0,Part,89.95,no,,3
493486,41017,45,r&r exhaust manifold front right,,379.5,5.06,Labor,75.0,no,,2
670696,11641,49,valve cover gasket and spark plugs,,290.4,3.63,Labor,80.0,no,,2
535708,31671,46,extension pipe replaced,,10.09,1.0,Part,10.09,no,,9
53232,20145,36,air filter af5314  882779 899319,,13.65,1.0,Part,13.65,no,,2
161166,26245,39,oil pressure gasket  ps100,,25.0,1.0,Part,25.0,no,,2
291304,13435,42,on o 2 bunk,,30.0,1.0,Labor,30.0,no,,9
635389,22125,48,lower control arm moog part rk80539,,75.0,1.0,Part,75.0,no,,1
271228,93359,41,ls34 85121r front struts,,211.0,2.0,Part,105.5,no,,1
281887,4018,42,power steering pressure  line,,45.77,1.0,Part,45.77,no,,6
313197,35328,42,0w20  synthetic oil  & filter,,45.0,1.0,Part,45.0,no,,2
341774,63905,42,replenish coolant,,40.0,1.0,Labor,40.0,no,,3
154300,19379,39,r & r rear brake caliper passenger side,,70.0,1.0,Labor,70.0,no,,8
102137,2916,38,r & r lower control arm (right passenger side) just labor,,65.0,1.0,Labor,65.0,no,,1
643961,30697,48,replaced lower control arm with sway bar link,,290.0,2.0,Labor,145.0,no,,1
690466,1655,67,used engine  (robbins ),,500.0,1.0,Part,500.0,no,,9
656820,43556,48,473fb473 brake shoes sku 000352351,,55.0,1.0,Part,55.0,no,,8
342613,64744,42,coolant hose part 28479 serial 720530621376 manf   gates,,60.0,2.0,Part,30.0,no,,3
192877,15008,41,costumer aware need replaced 2 front bearing,,0.0,1.0,Labor,0.0,no,,5
63742,30655,36,throttle body  & resonator,,263.5,3.1,Labor,85.0,no,,2
917335,5485,257,on lower control arm ( replace new front  lower control arm),,130.0,1.0,Labor,130.0,no,,1
322412,44543,42,deposit for starter,,100.0,1.0,Labor,100.0,no,,6
272036,94167,41,replaced2 front lower control arm/front left sway b link/repair cv axle front left,,442.0,5.2,Labor,85.0,no,,1
944010,32160,257,replace  new front pads n rotors,,102.0,1.0,Labor,102.0,no,,1
473547,21078,45,lower control arm   dwk5342 driveworks,,191.98,2.0,Part,95.99,no,,1
564640,60603,46,labor on front right headlight bulb,,50.15,0.59,Labor,85.0,no,,4
109126,9905,38,ft  control arm (pass side),,79.87,1.0,Part,79.87,no,,1
116272,17051,38,wheel cylinder(atk),,20.0,2.0,Part,10.0,no,,8
263597,85728,41,600 3715  intake camshaft  phaser,,210.0,1.0,Part,210.0,no,,2
618436,5172,48,front hubbearing driver side,,136.0,1.0,Part,136.0,no,,1
214781,36912,41,costumer request install  rear brake shoes labor only no warranty,,70.0,1.0,Labor,70.0,no,,8
930090,18240,257,sylvania basic bulbs parts  956134,,53.18,2.0,Part,26.59,no,,4
214368,36499,41,exhaust pipe catalityc converter muffler,,236.45,1.0,Labor,236.45,no,,9
247514,69645,41,779   rear brake shoes,,40.0,1.0,Part,40.0,no,,8
543254,39217,46,battery drive belt,,260.0,3.25,Labor,80.0,no,,6
376593,27742,43,2 hangers havy duty,,16.0,1.0,Part,16.0,no,,9
118616,19395,38,front right wheel studs,,20.0,2.0,Part,10.0,no,,1
668421,9366,49,serpentine bell front hardware kit,,75.1,1.0,Labor,75.1,no,,1
